train/loss,train/acc,train/precision,train/recall,epoch,step,val/loss,val/acc,val/precision,val/recall
0.7067371606826782,0.44744065403938293,0.38859355449676514,0.7862364053726196,0,19,,,,
0.6776777505874634,0.6159964799880981,0.3963254690170288,0.015768587589263916,1,39,,,,
0.6724205017089844,0.6190192103385925,0.0,0.0,2,59,,,,
0.6680517792701721,0.6191385388374329,0.0,0.0,3,79,,,,
,,,,4,99,0.6461029052734375,0.6707599759101868,0.0,0.0
0.6677654385566711,0.6707599759101868,0.0,0.0,4,99,,,,
0.667170524597168,0.6191385388374329,0.0,0.0,5,119,,,,
0.6662175059318542,0.6191385388374329,0.0,0.0,6,139,,,,
0.6657093167304993,0.6191385388374329,0.0,0.0,7,159,,,,
0.6666613817214966,0.6191385388374329,0.0,0.0,8,179,,,,
,,,,9,199,0.6437622904777527,0.6707599759101868,0.0,0.0
0.6664275527000427,0.6707599759101868,0.0,0.0,9,199,,,,
